id,a17,d11
id_1_main_post_test,6,6
id_1_main_pre_test,3,4
id_2_main_pre_test,1,2
id_3_main_post_test,6,6
id_3_main_pre_test,4,8
id_4_main_post_test,6,6
id_4_main_pre_test,5,4
id_5_main_post_test,7,9
id_5_main_pre_test,5,8
id_6_main_pre_test,0,1
id_7_main_post_test,6,10
id_7_main_pre_test,5,6
id_8_main_post_test,6,9
id_8_main_pre_test,6,9
id_9_main_post_test,6,9
id_9_main_pre_test,3,8
id_10_main_post_test,5,9
id_10_main_pre_test,4,5
id_11_main_post_test,6,10
id_11_main_pre_test,4,8
id_12_main_post_test,6,9
id_12_main_pre_test,6,8
id_13_main_post_test,2,5
id_13_main_pre_test,0,2
id_14_main_pre_test,4,7
id_15_main_pre_test,0,3
id_16_main_post_test,4,10
id_16_main_pre_test,6,5
id_17_main_post_test,3,7
id_17_main_pre_test,1,4
id_18_main_post_test,7,6
id_18_main_pre_test,1,1
id_19_main_pre_test,1,1
id_20_main_pre_test,1,1
id_22_main_pre_test,0,2
id_23_main_pre_test,0,3
id_24_main_pre_test,2,4
id_25_main_post_test,4,8
id_25_main_pre_test,1,2
id_26_main_post_test,1,7
id_26_main_pre_test,2,2
id_27_main_post_test,4,6
id_28_main_post_test,4,7
id_28_main_pre_test,5,3
id_29_main_post_test,5,9
id_29_main_pre_test,0,5
id_30_main_post_test,4,4
id_30_main_pre_test,6,4
id_31_main_post_test,3,5
id_32_main_post_test,5,8
id_32_main_pre_test,7,8
id_33_main_post_test,??,7
id_34_main_post_test,8,9
id_35_main_post_test,6,7
id_35_main_pre_test,4,4
id_36_main_pre_test,3,6
id_37_main_post_test,4,6
id_37_main_pre_test,3,4
id_38_main_post_test,8,6
id_38_main_pre_test,4,3
id_39_main_post_test,11,7
id_39_main_pre_test,6,6
id_40_main_post_test,2,5
id_40_main_pre_test,3,2
id_41_main_post_test,7,5
id_41_main_pre_test,1,4
id_42_main_post_test,5,4
id_42_main_pre_test,??,??
id_43_main_post_test,5,8
id_43_main_pre_test,??,??
id_44_main_post_test,2,5
id_44_main_pre_test,3,4
id_45_main_pre_test,1,1
id_46_main_post_test,0,2
id_46_main_pre_test,0,2
id_47_main_post_test,2,5
id_47_main_pre_test,1,4
id_48_main_post_test,??,2
id_48_main_pre_test,0,0
id_49_main_pre_test,0,0
id_50_main_post_test,5,7
id_50_main_pre_test,3,3
id_51_main_post_test,3,2
id_51_main_pre_test,0,1
id_52_main_post_test,5,5
id_52_main_pre_test,2,2
id_53_main_post_test,0,4
id_53_main_pre_test,0,2
id_54_main_post_test,0,1
id_54_main_pre_test,1,1
id_55_main_post_test,3,6
id_55_main_pre_test,0,5
id_56_main_post_test,6,6
id_56_main_pre_test,0,3
id_57_main_post_test,5,3
id_57_main_pre_test,5,3
id_58_main_post_test,7,7
id_58_main_pre_test,3,5
id_59_main_post_test,6,10
id_59_main_pre_test,5,6
id_60_main_post_test,3,6
id_60_main_pre_test,6,6
id_61_main_pre_test,0,4
id_62_main_post_test,1,5
id_62_main_pre_test,1,2
id_63_main_post_test,2,4
id_63_main_pre_test,0,2
